side,date,category,status,count,source_url,source_label
Ukraine,2023-07-25,Infantry Fighting Vehicles,damaged,1,https://i.postimg.cc/8z3YWMtR/2001-bradley-dam-25-07-23.jpg,"18, damaged"
Ukraine,2023-11-02,Infantry Fighting Vehicles,damaged,1,https://i.postimg.cc/Qd9MRYhd/2002-bradley-dam-02-11-23.jpg,"19, damaged"
Ukraine,2023-11-08,Infantry Fighting Vehicles,damaged,1,https://i.postimg.cc/QtsxKX5F/2016-bradley-dam-08-11-23.jpg,"20, damaged"
Ukraine,2023-11-09,Infantry Fighting Vehicles,damaged,1,https://i.postimg.cc/Sxcsbf6h/2000-Bradley-destr-09-11-23.jpg,"21, damaged"
Ukraine,2023-12-02,Infantry Fighting Vehicles,damaged,1,https://i.postimg.cc/6QV5vBKV/2011-bradley-dam-02-12-23.jpg,"22, damaged"
Ukraine,2024-01-13,Infantry Fighting Vehicles,damaged,1,https://i.postimg.cc/fRq4wkh2/2010-bradley-dam-13-01-24.jpg,"23, damaged"
Ukraine,2024-02-12,Infantry Fighting Vehicles,damaged,1,https://i.postimg.cc/cHnkfh6L/2010-bradley-dam-12-02-24.jpg,"24, damaged"
Ukraine,2024-07-28,Infantry Fighting Vehicles,damaged,1,https://i.postimg.cc/TPMWt4xZ/2008-M2-A2-Bradley-ODS-SA-dam-28-07-24.jpg,"25, damaged"
Ukraine,2023-07-25,Infantry Fighting Vehicles,damaged,1,https://i.postimg.cc/SKMvGRvw/2005-bradley-dam-aband-25-07-23.jpg,"5, damaged and abandoned"
Ukraine,2024-02-17,Infantry Fighting Vehicles,damaged,1,https://i.postimg.cc/kg4FzY4M/2008-M2-A2-Bradley-ODS-SA-dam-aband-17-02-24.jpg,"7, damaged and abandoned"
Ukraine,2024-01-01,Infantry Fighting Vehicles,abandoned,1,https://i.postimg.cc/nLNmM2JK/2011-M2-A2-Bradley-ODS-SA-aband-01-01-24.jpg,"8, abandoned"
Ukraine,2024-12-23,Infantry Fighting Vehicles,abandoned,1,https://i.postimg.cc/t4L9BcFm/2001-M2-A2-Bradley-ODS-SA-aband-23-12-24.jpg,"9, abandoned"
Ukraine,2024-01-31,Infantry Fighting Vehicles,damaged,1,https://i.postimg.cc/zDRfPHXm/2042-bradley-dam-aband-31-01-24.jpg,"12, damaged and abandoned"
Ukraine,2024-04-06,Infantry Fighting Vehicles,damaged,1,https://i.postimg.cc/3xLbjtP8/2023-Bradley-dam-aband-06-04-24.jpg,"13, damaged and abandoned"
Ukraine,2024-07-08,Infantry Fighting Vehicles,damaged,1,https://i.postimg.cc/yYC9GJmf/2002-M2-A2-Bradley-ODS-SA-dam-aband-08-07-24.jpg,"14, damaged and abandoned"
Ukraine,2024-05-24,Infantry Fighting Vehicles,abandoned,1,https://i.postimg.cc/zBc0q6dF/2008-M2-A2-Bradley-ODS-SA-aband-24-05-24.jpg,"15, abandoned"
Ukraine,2024-05-28,Infantry Fighting Vehicles,damaged,1,https://i.postimg.cc/13FSPC8X/2001-M2-A2-Bradley-ODS-SA-dam-aband-28-05-24.jpg,"16, damaged and abandoned"
Ukraine,2024-06-02,Infantry Fighting Vehicles,damaged,1,https://i.postimg.cc/9X159SDb/2005-M2-A2-Bradley-ODS-SA-dam-aband-02-06-24.jpg,"17, damaged and abandoned"
Ukraine,2024-05-27,Infantry Fighting Vehicles,damaged,1,https://i.postimg.cc/3xqj7Qf1/2006-M2-A2-Bradley-ODS-SA-dam-aband-27-05-24.jpg,"18, damaged and abandoned"
Ukraine,2024-06-05,Infantry Fighting Vehicles,abandoned,1,https://i.postimg.cc/fR1xsC39/2018-M2-A2-Bradley-ODS-SA-aband-05-06-24.jpg,"19, abandoned"
Ukraine,2024-06-15,Infantry Fighting Vehicles,damaged,1,https://i.postimg.cc/mrHSZxPF/2021-M2-A2-Bradley-ODS-SA-dam-15-06-24.jpg,"20, damaged and abandoned"
Ukraine,2024-06-21,Infantry Fighting Vehicles,damaged,1,https://i.postimg.cc/y6wM8VSJ/2003-M2-A2-Bradley-ODS-SA-dam-aband-21-06-24.jpg,"21, damaged and abandoned"
Ukraine,2024-08-02,Infantry Fighting Vehicles,damaged,1,https://i.postimg.cc/sfSDkmWX/2005-M2-A2-Bradley-ODS-SA-dam-aband-02-08-24.jpg,"22, damaged and abandoned"
Ukraine,2024-08-03,Infantry Fighting Vehicles,damaged,1,https://i.postimg.cc/4yzfp4Gt/2011-M2-A2-Bradley-ODS-SA-dam-aband-03-08-24.jpg,"23, damaged and abandoned"
Ukraine,2024-09-09,Infantry Fighting Vehicles,damaged,1,https://i.postimg.cc/D0WYF0XV/2023-M2-A2-Bradley-ODS-SA-dam-aband-09-09-24.jpg,"24, damaged and abandoned"
Ukraine,2024-11-12,Infantry Fighting Vehicles,damaged,1,https://i.postimg.cc/k5L79nrj/2011-M2-A2-Bradley-ODS-SA-dam-aband-12-11-24.jpg,"25, damaged and abandoned"
Ukraine,2024-11-27,Infantry Fighting Vehicles,damaged,1,https://i.postimg.cc/Mp0RNhGL/2055-M2-A2-Bradley-ODS-SA-dam-aband-27-11-24.jpg,"26, damaged and abandoned"
